hash count mean4 stdev4 median4 min4 max4 mean8 stdev8 median8 min8 max8
2018-06 53364 3335.25 46.46705822407956 3332.5 3208 3399 208.453125 13.59190899889986 208.0 172 239
2018-07 53011 3313.1875 42.85909872769142 3323.5 3209 3393 207.07421875 13.54500453403942 206.5 168 238
2018-08 45973 2873.3125 52.100526328915336 2858.5 2761 2985 179.58203125 12.797441966034597 179.0 141 210
2018-09 46365 2897.8125 54.6342597986831 2893.5 2775 3002 181.11328125 12.902839265386454 180.0 143 216
2018-10 46474 2904.625 55.31825535029101 2895.0 2767 3012 181.5390625 12.759128070565549 181.0 141 211
2018-11 46420 2901.25 54.02719222761812 2903.5 2755 2981 181.328125 12.870514616143948 181.0 147 218
2018-12 46544 2909 64.79583319936553 2913.5 2734 2995 181.8125 13.103702959469128 182.0 147 221
2019-01 46300 2893.75 59.75941348440428 2897.5 2740 2991 180.859375 12.993829289681122 180.5 147 219
2019-02 47212 2950.75 59.68301684734109 2952.5 2808 3065 184.421875 13.0931812973156 184.0 147 226
2019-03 46899 2931.1875 68.01582421576614 2938.5 2736 3032 183.19921875 13.125422588993027 182.0 152 221
2019-04 47029 2939.3125 70.62995004776657 2944.5 2762 3053 183.70703125 13.12306940321217 183.0 148 225
2019-05 47091 2943.1875 68.39610620313118 2952.5 2765 3074 183.94921875 13.083616282001259 183.0 151 224
2019-06 47075 2942.1875 70.43012383738936 2950.0 2768 3069 183.88671875 13.338986978342787 184.0 149 219
2019-07 55313 3457.0625 64.64273813623615 3470.5 3322 3570 216.06640625 14.281198180123436 216.0 177 260
2019-08 55569 3473.0625 65.52048224601221 3480.0 3325 3594 217.06640625 14.38204597614543 218.0 176 267
2019-09 55891 3493.1875 61.32211953080226 3488.0 3358 3619 218.32421875 14.194256354319815 218.0 175 264
2019-10 55790 3486.875 56.85823928860267 3481.0 3368 3612 217.9296875 13.731910597303775 218.0 183 258
